No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
286,경남,마산역버스터미널,마산역버스터미널,21.3,19.2,18.5,17.3,19.4,19.4,19.4
287,경남,밀양원도심/삼문동,밀양원도심/삼문동,4.3,10.3,9.3,9.2,9.2,7.5,7.2
288,경남,양산구도심,양산구도심,26.5,28.9,28.6,28.6,28.6,28.6,28.6
289,경남,용원동,용원동,0.0,8.6,8.6,6.5,6.5,6.5,6.5
290,경남,진주중앙시장,진주중앙시장,22.9,24.0,24.5,25.9,26.6,27.7,27.6
291,경남,진주하대동,진주하대동,8.7,6.1,6.1,6.1,3.3,3.3,3.3
292,경남,진해석동,진해석동,0.0,0.0,5.7,0.0,7.4,9.3,20.1
293,경남,창원시청,창원시청,7.3,6.7,11.6,12.9,12.9,12.9,6.7
294,경남,창원역,창원역,16.0,17.5,17.5,17.2,14.1,17.2,17.2
295,경남,창원월영동,창원월영동,17.0,22.4,19.4,19.4,15.7,14.8,15.7
296,경남,창원의창구청,창원의창구청,18.3,27.6,27.6,21.0,19.4,16.6,19.0
297,경남,통영 강구안,통영 강구안,25.2,24.4,33.1,33.1,33.1,29.4,29.4
298,경남,통영시청,통영시청,2.6,2.6,2.6,4.2,5.6,5.6,5.6
299,경남,평거동,평거동,12.3,10.2,10.9,12.6,12.5,12.5,10.5
300,경남,활천동,활천동,6.8,3.8,3.8,5.1,3.8,6.9,6.9
